sw,1 md; por 0.08,15 md; por 0.11,100 md; por 0.15,500 md; por 0.22
15,93.59,28.34,12.82,6.94
16,66.48,20.13,9.10,4.93
17,46.54,14.09,6.37,3.45
18,39.89,12.08,5.46,2.96
19,33.24,10.06,4.55,2.47
20,31.82,9.63,4.36,2.36
25,22.46,6.80,3.08,1.67
30,16.85,5.10,2.31,1.25
35,13.10,3.97,1.79,0.97
40,11.23,3.40,1.54,0.83
50,7.49,2.27,1.03,0.56
60,6.55,1.98,0.90,0.49
70,6.08,1.84,0.83,0.45
80,5.62,1.70,0.77,0.42
90,5.62,1.70,0.77,0.42
100,5.62,1.70,0.77,0.42
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
