well_id,x,y,depth,h,poro,sw
1,0.00,-110.00,-4900.00 ,25,0.2,0.25
2,4500.00,4970.00,-4920.00 ,33,0.205,0.265
3,2640.00,2640.00,-4800.00 ,44,0.2,0.205
4,660.00,2100.00,-4900.00 ,36,0.19,0.212
5,2000.00,770.00,-4850.00 ,22,0.23,0.227
6,2640.00,4000.00,-4850.00 ,45,0.242,0.22
7,4000.00,3000.00,-4880.00 ,23,0.235,0.24
8,660.00,3400.00,-5100.00 ,34,0.23,0.75
9,6000.00,1320.00,-5050.00 ,24,0.19,0.34
10,2200.00,6500.00,-5010.00 ,11,0.21,0.27
11,1000.00,-2000.00,-5000.00 ,24,0.18,0.275
12,3000.00,5500.00,-4990.00 ,28,0.12,0.26
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
