t,p,Np,Gp,Wp,Bo
01 January 1966,2779.00,0.00,0,0,1.4100
01 February 1966,2685.00,20821.00,1.02E+07,0,1.4133
01 April 1966,2473.00,79405.00,4.27E+07,374,1.4221
01 August 1966,2259.00,166065.00,8.25E+07,822,1.4310
01 February 1967,1959.00,314099.00,1.60E+08,12887,1.4435
01 January 1968,1770.00,580419.00,2.82E+08,27631,1.4513
01 January 1970,1559.00,"1.089,315",5.12E+08,56637,1.4601
01 January 1972,1337.00,1436899.00,6.88E+08,84795,1.4693
01 January 1974,1248.00,1633927.00,7.80E+08,111865,1.4730
01 January 1976,1126.00,1693737.00,8.02E+08,143256,1.4781
01 January 1980,1080.00,1761704.00,8.03E+08,289432,1.4800
,,,,,
