t,p,Np,Gp,Wp,Bo
01 January 1964,2532,0,0,0,1.07800
01 October 1964,2503,1107012,1.24E+08,27400,1.07826
01 January 1965,2496,1574736,1.76E+08,55000,1.07832
01 April 1965,2485,2157206,2.42E+08,109000,1.07842
01 September 1965,2476,3268489,3.66E+08,277300,1.07850
01 April 1966,2471,5007092,5.61E+08,495450,1.07854
01 April 1967,2465,7739388,8.67E+08,1514500,1.07860
01 June 1977,2442,18311694,2.05E+09,39123000,1.07880
01 June 1981,2439,19657804,2.20E+09,57345000,1.07883
01 July 1985,2430,20657249,2.31E+09,78372000,1.07891
